Database	Sample	Frac_unclassified	Count_unclassified
ISOLATES-550	ERR675656_1_kneaddata_paired.out	 52.70	11969325
ISOLATES-550	ERR675657_1_kneaddata_paired.out	 52.74	10114203
ISOLATES-550	ERR675658_1_kneaddata_paired.out	 54.07	10475905
ISOLATES-550	ERR675659_1_kneaddata_paired.out	 52.33	9306861
ISOLATES-550	ERR675660_1_kneaddata_paired.out	 47.08	7501230
ISOLATES-550	ERR675661_1_kneaddata_paired.out	 46.93	6190099
ISOLATES-550	ERR675662_1_kneaddata_paired.out	 43.38	8838293
ISOLATES-550	ERR675663_1_kneaddata_paired.out	 49.29	8611363
ISOLATES-550	ERR675664_1_kneaddata_paired.out	 48.07	5544519
ISOLATES-550	ERR675665_1_kneaddata_paired.out	 52.15	6863079
ISOLATES-550	ERR675666_1_kneaddata_paired.out	 48.39	8365698
ISOLATES-550	ERR675667_1_kneaddata_paired.out	 43.60	6861183
ISOLATES-550	ERR675668_1_kneaddata_paired.out	 29.75	9537277
ISOLATES-550	ERR675669_1_kneaddata_paired.out	 30.33	11056458
ISOLATES-550	ERR675670_1_kneaddata_paired.out	 30.97	11935512
ISOLATES-550	ERR675671_1_kneaddata_paired.out	 39.54	11559824
ISOLATES-550	ERR675672_1_kneaddata_paired.out	 29.49	9723249
ISOLATES-550	ERR675673_1_kneaddata_paired.out	 29.12	8141372
ISOLATES-550	ERR675674_1_kneaddata_paired.out	 29.20	8319617
ISOLATES-550	ERR675675_1_kneaddata_paired.out	 28.15	6365224
ISOLATES-550	ERR675676_1_kneaddata_paired.out	 35.58	9342958
ISOLATES-550	ERR675677_1_kneaddata_paired.out	 32.65	7489702
ISOLATES-550	ERR675678_1_kneaddata_paired.out	 35.17	9260342
ISOLATES-550	ERR675679_1_kneaddata_paired.out	 26.86	7710986
ISOLATES-550	ERR675680_1_kneaddata_paired.out	 24.75	7296770
ISOLATES-550	ERR675681_1_kneaddata_paired.out	 38.02	10990703
ISOLATES-550	ERR675682_1_kneaddata_paired.out	 26.90	9874382
ISOLATES-550	ERR675683_1_kneaddata_paired.out	 20.40	7030190
ISOLATES-550	ERR675684_1_kneaddata_paired.out	 40.42	14497032
ISOLATES-550	ERR675685_1_kneaddata_paired.out	 41.96	14902976
ISOLATES-550	ERR675686_1_kneaddata_paired.out	 43.53	16694299
ISOLATES-550	ERR675687_1_kneaddata_paired.out	 43.09	16151410
ISOLATES-550	ERR899270_1_kneaddata_paired.out	 44.94	20214573
ISOLATES-550	ERR899271_1_kneaddata_paired.out	 39.52	17560229
ISOLATES-550	ERR899278_1_kneaddata_paired.out	 36.53	15943304
ISOLATES-550	ERR899280_1_kneaddata_paired.out	 33.57	16074831
ISOLATES-550	ERR899281_1_kneaddata_paired.out	 41.34	17957644
ISOLATES-550	ERR899284_1_kneaddata_paired.out	 36.16	13976366
ISOLATES-550	ERR899292_1_kneaddata_paired.out	 40.29	20020465
ISOLATES-550	ERR899293_1_kneaddata_paired.out	 32.61	14339633
ISOLATES-550	ERR982795_1_kneaddata_paired.out	 52.85	11776982
ISOLATES-550	ERR982796_1_kneaddata_paired.out	 44.19	7573836
ISOLATES-550	ERR982797_1_kneaddata_paired.out	 36.95	8027659
ISOLATES-550	ERR982798_1_kneaddata_paired.out	 48.89	8365991
ISOLATES-550	ERR982799_1_kneaddata_paired.out	 58.87	9543019
ISOLATES-550	ERR982800_1_kneaddata_paired.out	 43.44	7861950
ISOLATES-550	ERR982801_1_kneaddata_paired.out	 43.24	11238315
ISOLATES-550	ERR982802_1_kneaddata_paired.out	 57.42	17020026
ISOLATES-550	ERR982803_1_kneaddata_paired.out	 44.97	8013868
ISOLATES-550	ERR982804_1_kneaddata_paired.out	 44.33	8922872
ISOLATES-550	ERR982805_1_kneaddata_paired.out	 53.71	12417228
ISOLATES-550	ERR982806_1_kneaddata_paired.out	 43.36	10498308
ISOLATES-550	ERR982807_1_kneaddata_paired.out	 42.98	7820924
ISOLATES-550	ERR982808_1_kneaddata_paired.out	 46.12	5928058
ISOLATES-550	ERR982809_1_kneaddata_paired.out	 52.60	12509603
ISOLATES-550	ERR982810_1_kneaddata_paired.out	 47.49	9168544
ISOLATES-550	ERR982811_1_kneaddata_paired.out	 48.26	9277463
ISOLATES-550	ERR982812_1_kneaddata_paired.out	 54.47	10111500
ISOLATES-550	ERR982813_1_kneaddata_paired.out	 35.06	6306576
ISOLATES-550	ERR982814_1_kneaddata_paired.out	 44.79	7703817
ISOLATES-550	ERR982815_1_kneaddata_paired.out	 55.74	14050630
ISOLATES-550	ERR982816_1_kneaddata_paired.out	 52.32	10399118
ISOLATES-550	ERR982817_1_kneaddata_paired.out	 51.53	11172033
ISOLATES-550	ERR982818_1_kneaddata_paired.out	 44.77	8088101
ISOLATES-550	ERR982819_1_kneaddata_paired.out	 54.99	12877776
ISOLATES-550	ERR982820_1_kneaddata_paired.out	 38.66	8573179
ISOLATES-550	ERR982821_1_kneaddata_paired.out	 38.57	6287344
ISOLATES-550	ERR982822_1_kneaddata_paired.out	 60.45	12877543
ISOLATES-550	ERR982823_1_kneaddata_paired.out	 39.96	8096782
ISOLATES-550	ERR982824_1_kneaddata_paired.out	 42.49	7330438
ISOLATES-550	ERR982825_1_kneaddata_paired.out	 49.32	9035783
ISOLATES-550	ERR982826_1_kneaddata_paired.out	 41.09	8563953
ISOLATES-550	ERR982827_1_kneaddata_paired.out	 35.76	9719636
ISOLATES-550	ERR982828_1_kneaddata_paired.out	 50.90	12592373
ISOLATES-550	ERR982829_1_kneaddata_paired.out	 60.44	13356809
ISOLATES-550	ERR982830_1_kneaddata_paired.out	 41.70	6604939
ISOLATES-550	ERR982831_1_kneaddata_paired.out	 38.31	6725391
ISOLATES-550	ERR982832_1_kneaddata_paired.out	 53.07	14265271
ISOLATES-550	ERR982833_1_kneaddata_paired.out	 41.58	8442239
ISOLATES-550	ERR982834_1_kneaddata_paired.out	 59.80	10353450
ISOLATES-550	ERR982835_1_kneaddata_paired.out	 42.13	9308912
ISOLATES-550	ERR982836_1_kneaddata_paired.out	 45.09	8085369
ISOLATES-550	ERR982837_1_kneaddata_paired.out	 62.07	11534998
ISOLATES-550	ERR982838_1_kneaddata_paired.out	 41.27	6281598
ISOLATES-550	ERR982839_1_kneaddata_paired.out	 49.45	10579970
ISOLATES-550	ERR982840_1_kneaddata_paired.out	 46.98	9253710
ISOLATES-550	ERR982841_1_kneaddata_paired.out	 44.54	8610952
ISOLATES-550	ERR982842_1_kneaddata_paired.out	 36.94	9103480
ISOLATES-550	ERR982843_1_kneaddata_paired.out	 46.99	8629312
ISOLATES-550	ERR982844_1_kneaddata_paired.out	 39.63	8612639
ISOLATES-550	ERR982845_1_kneaddata_paired.out	 54.55	9033239
ISOLATES-550	ERR982846_1_kneaddata_paired.out	 47.65	9625930
ISOLATES-550	ERR982847_1_kneaddata_paired.out	 41.35	9435994
ISOLATES-550	ERR982848_1_kneaddata_paired.out	 45.09	6397691
ISOLATES-550	mgm4537490.3_kneaddata.out	 52.44	3343710
ISOLATES-550	mgm4538631.3_kneaddata.out	 57.94	2954867
ISOLATES-550	mgm4538804.3_kneaddata.out	 39.90	3179460
ISOLATES-550	mgm4538858.3_kneaddata.out	 58.93	2269118
ISOLATES-550	mgm4538914.3_kneaddata.out	 55.51	2300632
ISOLATES-550	mgm4538917.3_kneaddata.out	 50.43	1096073
ISOLATES-550	mgm4539155.3_kneaddata.out	 56.96	1423275
ISOLATES-550	mgm4539386.3_kneaddata.out	 48.36	776262
ISOLATES-550	mgm4539473.3_kneaddata.out	 48.68	3364946
ISOLATES-550	mgm4539531.3_kneaddata.out	 57.88	2946180
ISOLATES-550	mgm4539533.3_kneaddata.out	 53.88	1420640
ISOLATES-550	mgm4539684.3_kneaddata.out	 46.57	3337430
ISOLATES-550	mgm4539685.3_kneaddata.out	 40.83	1813392
ISOLATES-550	mgm4539686.3_kneaddata.out	 43.43	4906981
ISOLATES-550	mgm4539799.3_kneaddata.out	 57.37	2136545
ISOLATES-550	mgm4539801.3_kneaddata.out	 51.10	3485642
ISOLATES-550	mgm4539802.3_kneaddata.out	 46.89	3136301
ISOLATES-550	mgm4539917.3_kneaddata.out	 50.23	2118796
ISOLATES-550	mgm4539918.3_kneaddata.out	 45.34	3661594
ISOLATES-550	mgm4539994.3_kneaddata.out	 39.06	2609487
ISOLATES-550	mgm4539995.3_kneaddata.out	 35.12	1794535
ISOLATES-550	mgm4539996.3_kneaddata.out	 35.12	2071217
ISOLATES-550	mgm4539997.3_kneaddata.out	 45.00	2542713
ISOLATES-550	mgm4539998.3_kneaddata.out	 38.48	1846729
ISOLATES-550	mgm4540044.3_kneaddata.out	 43.58	592525
ISOLATES-550	mgm4540045.3_kneaddata.out	 44.13	1975404
ISOLATES-550	mgm4540046.3_kneaddata.out	 35.08	1628327
ISOLATES-550	mgm4540052.3_kneaddata.out	 35.61	2442409
ISOLATES-550	mgm4540053.3_kneaddata.out	 47.59	2650193
ISOLATES-550	mgm4540251.3_kneaddata.out	 51.40	2245446
ISOLATES-550	mgm4540252.3_kneaddata.out	 52.27	2402916
ISOLATES-550	mgm4541194.3_kneaddata.out	 40.69	4103540
ISOLATES-550	mgm4548364.3_kneaddata.out	 50.86	4663758
ISOLATES-550	mgm4725857_kneaddata.out	 63.27	11997459
ISOLATES-550	mgm4725858_kneaddata.out	 69.64	16945527
ISOLATES-550	mgm4725859_kneaddata.out	 53.08	8121120
ISOLATES-550	mgm4725860_kneaddata.out	 61.03	13005352
ISOLATES-550	mgm4725861_kneaddata.out	 62.23	14054710
ISOLATES-550	mgm4725862_kneaddata.out	 76.30	6136818
ISOLATES-550	mgm4725863_kneaddata.out	 52.85	6292039
ISOLATES-550	mgm4725864_kneaddata.out	 63.07	14742135
ISOLATES-550	mgm4725865_kneaddata.out	 57.17	13993976
ISOLATES-550	mgm4725866_kneaddata.out	 79.52	9017021
ISOLATES-550	mgm4725867_kneaddata.out	 77.08	19154234
ISOLATES-550	mgm4725868_kneaddata.out	 65.13	19169760
ISOLATES-550	mgm4725869_kneaddata.out	 56.54	11883733
ISOLATES-550	mgm4725870_kneaddata.out	 60.21	13938954
ISOLATES-550	mgm4725871_kneaddata.out	 59.49	15848559
ISOLATES-550	mgm4725872_kneaddata.out	 65.30	19373710
ISOLATES-550	mgm4725873_kneaddata.out	 57.21	15531375
ISOLATES-550	mgm4725874_kneaddata.out	 59.53	19599143
ISOLATES-550	mgm4725875_kneaddata.out	 68.41	15113592
ISOLATES-550	mgm4725876_kneaddata.out	 64.49	8140499
ISOLATES-550	Sample_H2OW0M8_kneaddata.out	 63.00	12121099
ISOLATES-550	SRR10103340_1_kneaddata_paired.out	 48.87	12733312
ISOLATES-550	SRR10103341_1_kneaddata_paired.out	 50.05	17371388
ISOLATES-550	SRR10103342_1_kneaddata_paired.out	 48.58	13490001
ISOLATES-550	SRR10103343_1_kneaddata_paired.out	 50.96	14744058
ISOLATES-550	SRR10120756_1_kneaddata_paired.out	 40.93	8471486
ISOLATES-550	SRR10120757_1_kneaddata_paired.out	 38.52	2582146
ISOLATES-550	SRR10120758_1_kneaddata_paired.out	 39.66	8135265
ISOLATES-550	SRR10120760_1_kneaddata_paired.out	 36.70	5375551
ISOLATES-550	SRR10120761_1_kneaddata_paired.out	 36.74	3952024
ISOLATES-550	SRR10120762_1_kneaddata_paired.out	 38.12	5072795
ISOLATES-550	SRR10120763_1_kneaddata_paired.out	 50.14	6294043
ISOLATES-550	SRR10120764_1_kneaddata_paired.out	 50.31	4707331
ISOLATES-550	SRR10120765_1_kneaddata_paired.out	 48.54	9688580
ISOLATES-550	SRR10125071_1_kneaddata_paired.out	 91.96	1108269
ISOLATES-550	SRR10125072_1_kneaddata_paired.out	 91.34	1197231
ISOLATES-550	SRR10127609_1_kneaddata_paired.out	 86.26	706510
ISOLATES-550	SRR10127610_1_kneaddata_paired.out	 83.60	550233
ISOLATES-550	SRR10127611_1_kneaddata_paired.out	 76.57	624538
ISOLATES-550	SRR10127612_1_kneaddata_paired.out	 70.93	666899
ISOLATES-550	SRR10127614_1_kneaddata_paired.out	 72.39	674288
ISOLATES-550	SRR10127615_1_kneaddata_paired.out	 80.96	678939
ISOLATES-550	SRR10127616_1_kneaddata_paired.out	 85.95	499014
ISOLATES-550	SRR10127617_1_kneaddata_paired.out	 72.26	932296
ISOLATES-550	SRR10127618_1_kneaddata_paired.out	 85.86	579776
ISOLATES-550	SRR10127619_1_kneaddata_paired.out	 85.94	675119
ISOLATES-550	SRR10127620_1_kneaddata_paired.out	 80.02	602255
ISOLATES-550	SRR10127621_1_kneaddata_paired.out	 84.23	633720
ISOLATES-550	SRR10127622_1_kneaddata_paired.out	 83.56	663793
ISOLATES-550	SRR10127623_1_kneaddata_paired.out	 79.18	693019
ISOLATES-550	SRR10127624_1_kneaddata_paired.out	 81.75	637249
ISOLATES-550	SRR10127625_1_kneaddata_paired.out	 76.35	821607
ISOLATES-550	SRR10127626_1_kneaddata_paired.out	 74.96	590973
ISOLATES-550	SRR10127627_1_kneaddata_paired.out	 81.75	711898
ISOLATES-550	SRR10127628_1_kneaddata_paired.out	 79.78	686673
ISOLATES-550	SRR10127629_1_kneaddata_paired.out	 82.26	704357
ISOLATES-550	SRR10127630_1_kneaddata_paired.out	 78.97	611129
ISOLATES-550	SRR10127631_1_kneaddata_paired.out	 79.14	621195
ISOLATES-550	SRR10127633_1_kneaddata_paired.out	 72.41	776521
ISOLATES-550	SRR10127634_1_kneaddata_paired.out	 73.43	718669
ISOLATES-550	SRR10127635_1_kneaddata_paired.out	 80.91	565200
ISOLATES-550	SRR10127636_1_kneaddata_paired.out	 90.32	582470
ISOLATES-550	SRR10127637_1_kneaddata_paired.out	 83.59	594523
ISOLATES-550	SRR10127638_1_kneaddata_paired.out	 86.69	418093
ISOLATES-550	SRR10127639_1_kneaddata_paired.out	 75.66	903804
ISOLATES-550	SRR10127640_1_kneaddata_paired.out	 83.93	716117
ISOLATES-550	SRR10380305_1_kneaddata_paired.out	 36.53	18319057
ISOLATES-550	SRR10380306_1_kneaddata_paired.out	 14.15	6774588
ISOLATES-550	SRR10380307_1_kneaddata_paired.out	 44.30	26480305
ISOLATES-550	SRR10430066_1_kneaddata_paired.out	 19.07	12076405
ISOLATES-550	SRR10594853_1_kneaddata_paired.out	 40.58	3450788
ISOLATES-550	SRR10594855_1_kneaddata_paired.out	 58.35	564816
ISOLATES-550	SRR10728393_1_kneaddata_paired.out	 62.78	2382511
ISOLATES-550	SRR10728394_1_kneaddata_paired.out	 63.19	1498255
ISOLATES-550	SRR10728395_1_kneaddata_paired.out	 64.22	1023574
ISOLATES-550	SRR10728400_1_kneaddata_paired.out	 62.41	3097133
ISOLATES-550	SRR10728403_1_kneaddata_paired.out	 49.15	1998628
ISOLATES-550	SRR10728404_1_kneaddata_paired.out	 41.24	1561068
ISOLATES-550	SRR10728405_1_kneaddata_paired.out	 41.62	1266988
ISOLATES-550	SRR10728406_1_kneaddata_paired.out	 45.19	1343912
ISOLATES-550	SRR10728407_1_kneaddata_paired.out	 35.44	1030808
ISOLATES-550	SRR10728408_1_kneaddata_paired.out	 49.30	930597
ISOLATES-550	SRR10728411_1_kneaddata_paired.out	 64.04	2833937
ISOLATES-550	SRR10728416_1_kneaddata_paired.out	 64.44	2140160
ISOLATES-550	SRR10728417_1_kneaddata_paired.out	 57.62	893909
ISOLATES-550	SRR10728418_1_kneaddata_paired.out	 58.58	1475357
ISOLATES-550	SRR10728419_1_kneaddata_paired.out	 61.84	2083869
ISOLATES-550	SRR10728420_1_kneaddata_paired.out	 57.85	1528281
ISOLATES-550	SRR10728421_1_kneaddata_paired.out	 64.60	1102474
ISOLATES-550	SRR10728422_1_kneaddata_paired.out	 65.90	2407938
ISOLATES-550	SRR10728429_1_kneaddata_paired.out	 39.22	1854149
ISOLATES-550	SRR10728430_1_kneaddata_paired.out	 45.41	2899931
ISOLATES-550	SRR10728431_1_kneaddata_paired.out	 43.59	2042825
ISOLATES-550	SRR10728432_1_kneaddata_paired.out	 45.17	2493840
ISOLATES-550	SRR10728433_1_kneaddata_paired.out	 54.35	1430818
ISOLATES-550	SRR10728434_1_kneaddata_paired.out	 44.91	2850156
ISOLATES-550	SRR10728435_1_kneaddata_paired.out	 42.77	1741485
ISOLATES-550	SRR10728436_1_kneaddata_paired.out	 60.77	889157
ISOLATES-550	SRR10728437_1_kneaddata_paired.out	 47.35	848298
ISOLATES-550	SRR10728438_1_kneaddata_paired.out	 42.18	2011005
ISOLATES-550	SRR10728445_1_kneaddata_paired.out	 39.57	1807691
ISOLATES-550	SRR10728467_1_kneaddata_paired.out	 46.03	1735135
ISOLATES-550	SRR10728499_1_kneaddata_paired.out	 65.02	2314599
ISOLATES-550	SRR10728510_1_kneaddata_paired.out	 61.20	2616307
ISOLATES-550	SRR10728512_1_kneaddata_paired.out	 67.99	2787570
ISOLATES-550	SRR10728513_1_kneaddata_paired.out	 60.01	1944502
ISOLATES-550	SRR10728514_1_kneaddata_paired.out	 65.09	2813119
ISOLATES-550	SRR10728522_1_kneaddata_paired.out	 43.01	1561259
ISOLATES-550	SRR10728523_1_kneaddata_paired.out	 41.94	2085332
ISOLATES-550	SRR10728524_1_kneaddata_paired.out	 61.49	2433916
ISOLATES-550	SRR10728525_1_kneaddata_paired.out	 42.64	1476350
ISOLATES-550	SRR10728526_1_kneaddata_paired.out	 45.38	885460
ISOLATES-550	SRR10728527_1_kneaddata_paired.out	 43.21	1146581
ISOLATES-550	SRR10728528_1_kneaddata_paired.out	 44.66	877271
ISOLATES-550	SRR10728535_1_kneaddata_paired.out	 56.88	2370990
ISOLATES-550	SRR10728536_1_kneaddata_paired.out	 55.52	2936699
ISOLATES-550	SRR10728537_1_kneaddata_paired.out	 50.07	836643
ISOLATES-550	SRR10728538_1_kneaddata_paired.out	 60.77	1475670
ISOLATES-550	SRR11229733_1_kneaddata_paired.out	 43.29	17898804
ISOLATES-550	SRR11229734_1_kneaddata_paired.out	 32.88	15636227
ISOLATES-550	SRR11229735_1_kneaddata_paired.out	 37.11	16145972
ISOLATES-550	SRR11229736_1_kneaddata_paired.out	 46.85	17525890
ISOLATES-550	SRR11229737_1_kneaddata_paired.out	 42.10	26549900
ISOLATES-550	SRR11229738_1_kneaddata_paired.out	 48.86	30335929
ISOLATES-550	SRR11229739_1_kneaddata_paired.out	 40.91	20150383
ISOLATES-550	SRR11229740_1_kneaddata_paired.out	 39.17	24505395
ISOLATES-550	SRR11229741_1_kneaddata_paired.out	 43.71	24482348
ISOLATES-550	SRR11229742_1_kneaddata_paired.out	 29.54	10682249
ISOLATES-550	SRR11229743_1_kneaddata_paired.out	 37.37	17677020
ISOLATES-550	SRR11229744_1_kneaddata_paired.out	 28.43	9269272
ISOLATES-550	SRR11229745_1_kneaddata_paired.out	 29.92	10023761
ISOLATES-550	SRR11229746_1_kneaddata_paired.out	 35.51	22892074
ISOLATES-550	SRR11229747_1_kneaddata_paired.out	 31.31	16361595
ISOLATES-550	SRR11229748_1_kneaddata_paired.out	 43.83	28400103
ISOLATES-550	SRR11284171_1_kneaddata_paired.out	 37.87	9510898
ISOLATES-550	SRR11284179_1_kneaddata_paired.out	 33.73	1242005
ISOLATES-550	SRR11284180_1_kneaddata_paired.out	 38.52	1386204
ISOLATES-550	SRR11284181_1_kneaddata_paired.out	 34.87	1458655
ISOLATES-550	SRR11284182_1_kneaddata_paired.out	 42.59	14409702
ISOLATES-550	SRR11284183_1_kneaddata_paired.out	 40.25	1372334
ISOLATES-550	SRR11284184_1_kneaddata_paired.out	 39.38	1449990
ISOLATES-550	SRR11284185_1_kneaddata_paired.out	 37.99	1032309
ISOLATES-550	SRR11284186_1_kneaddata_paired.out	 35.15	1219458
ISOLATES-550	SRR11284187_1_kneaddata_paired.out	 35.47	1126273
ISOLATES-550	SRR11284188_1_kneaddata_paired.out	 40.95	1421831
ISOLATES-550	SRR11284189_1_kneaddata_paired.out	 33.81	1126568
ISOLATES-550	SRR11284190_1_kneaddata_paired.out	 37.13	1366006
ISOLATES-550	SRR11284191_1_kneaddata_paired.out	 38.98	1365665
ISOLATES-550	SRR11284192_1_kneaddata_paired.out	 45.01	2252811
ISOLATES-550	SRR11284193_1_kneaddata_paired.out	 39.52	17871169
ISOLATES-550	SRR11284194_1_kneaddata_paired.out	 36.77	1786561
ISOLATES-550	SRR11284195_1_kneaddata_paired.out	 37.87	1519174
ISOLATES-550	SRR11284196_1_kneaddata_paired.out	 34.08	1020475
ISOLATES-550	SRR11284197_1_kneaddata_paired.out	 35.67	1407778
ISOLATES-550	SRR11284198_1_kneaddata_paired.out	 32.53	997026
ISOLATES-550	SRR11284204_1_kneaddata_paired.out	 42.84	11075621
ISOLATES-550	SRR11284205_1_kneaddata_paired.out	 42.14	7250045
ISOLATES-550	SRR11404525_1_kneaddata_paired.out	 43.49	867408
ISOLATES-550	SRR11404526_1_kneaddata_paired.out	 39.90	991732
ISOLATES-550	SRR11404527_1_kneaddata_paired.out	 29.77	552
ISOLATES-550	SRR11404528_1_kneaddata_paired.out	 39.93	1491983
ISOLATES-550	SRR11404529_1_kneaddata_paired.out	 43.72	1135555
ISOLATES-550	SRR11404530_1_kneaddata_paired.out	 46.08	1698342
ISOLATES-550	SRR11404531_1_kneaddata_paired.out	 21.00	131386
ISOLATES-550	SRR11404532_1_kneaddata_paired.out	 45.69	3677338
ISOLATES-550	SRR11404533_1_kneaddata_paired.out	 45.56	990401
ISOLATES-550	SRR11404534_1_kneaddata_paired.out	 33.56	1369376
ISOLATES-550	SRR11404535_1_kneaddata_paired.out	 36.05	1955257
ISOLATES-550	SRR11404536_1_kneaddata_paired.out	 37.43	1220280
ISOLATES-550	SRR11404537_1_kneaddata_paired.out	 34.22	554374
ISOLATES-550	SRR11404538_1_kneaddata_paired.out	 35.06	1252790
ISOLATES-550	SRR11404539_1_kneaddata_paired.out	 35.12	1001421
ISOLATES-550	SRR11404540_1_kneaddata_paired.out	 35.38	763986
ISOLATES-550	SRR11404541_1_kneaddata_paired.out	 46.05	1022762
ISOLATES-550	SRR11404542_1_kneaddata_paired.out	 21.66	103767
ISOLATES-550	SRR11404543_1_kneaddata_paired.out	 33.41	351487
ISOLATES-550	SRR11404544_1_kneaddata_paired.out	 33.81	510911
ISOLATES-550	SRR11404545_1_kneaddata_paired.out	 36.69	406460
ISOLATES-550	SRR11404546_1_kneaddata_paired.out	 40.01	43148
ISOLATES-550	SRR11404547_1_kneaddata_paired.out	 30.53	36414
ISOLATES-550	SRR11404548_1_kneaddata_paired.out	 63.63	32781
ISOLATES-550	SRR11404549_1_kneaddata_paired.out	 60.86	6278
ISOLATES-550	SRR11404550_1_kneaddata_paired.out	 79.98	30822
ISOLATES-550	SRR11404551_1_kneaddata_paired.out	 25.88	169779
ISOLATES-550	SRR11404552_1_kneaddata_paired.out	 37.17	49927
ISOLATES-550	SRR11404553_1_kneaddata_paired.out	 66.01	11692
ISOLATES-550	SRR11404554_1_kneaddata_paired.out	 40.86	337734
ISOLATES-550	SRR11404555_1_kneaddata_paired.out	 38.85	448227
ISOLATES-550	SRR11404556_1_kneaddata_paired.out	 41.44	940828
ISOLATES-550	SRR11404557_1_kneaddata_paired.out	 29.93	604131
ISOLATES-550	SRR11404558_1_kneaddata_paired.out	 25.60	297398
ISOLATES-550	SRR11404559_1_kneaddata_paired.out	 32.38	325979
ISOLATES-550	SRR11404560_1_kneaddata_paired.out	 34.72	553471
ISOLATES-550	SRR11404561_1_kneaddata_paired.out	 36.88	492819
ISOLATES-550	SRR11404562_1_kneaddata_paired.out	 17.39	130799
ISOLATES-550	SRR11404563_1_kneaddata_paired.out	 73.08	814289
ISOLATES-550	SRR11404564_1_kneaddata_paired.out	 50.35	585328
ISOLATES-550	SRR11404565_1_kneaddata_paired.out	 40.20	213066
ISOLATES-550	SRR11404566_1_kneaddata_paired.out	 62.58	153230
ISOLATES-550	SRR11404567_1_kneaddata_paired.out	 43.20	1083031
ISOLATES-550	SRR11404568_1_kneaddata_paired.out	 44.46	592940
ISOLATES-550	SRR11404569_1_kneaddata_paired.out	 52.54	2479761
ISOLATES-550	SRR11404570_1_kneaddata_paired.out	 54.53	2931735
ISOLATES-550	SRR11404571_1_kneaddata_paired.out	 41.61	1353019
ISOLATES-550	SRR11404572_1_kneaddata_paired.out	 34.52	580133
ISOLATES-550	SRR11404573_1_kneaddata_paired.out	 18.94	48605
ISOLATES-550	SRR11404574_1_kneaddata_paired.out	 44.33	1180900
ISOLATES-550	SRR11404575_1_kneaddata_paired.out	 50.38	1471137
ISOLATES-550	SRR11404576_1_kneaddata_paired.out	 44.39	341254
ISOLATES-550	SRR11404577_1_kneaddata_paired.out	 28.73	533185
ISOLATES-550	SRR11404578_1_kneaddata_paired.out	 42.32	237006
ISOLATES-550	SRR11404579_1_kneaddata_paired.out	 30.38	283637
ISOLATES-550	SRR11404580_1_kneaddata_paired.out	 27.20	225135
ISOLATES-550	SRR11404581_1_kneaddata_paired.out	 22.73	163051
ISOLATES-550	SRR11404582_1_kneaddata_paired.out	 20.85	83026
ISOLATES-550	SRR11404583_1_kneaddata_paired.out	 47.21	77802
ISOLATES-550	SRR11404584_1_kneaddata_paired.out	 86.13	149
ISOLATES-550	SRR11404585_1_kneaddata_paired.out	 27.56	104135
ISOLATES-550	SRR11404586_1_kneaddata_paired.out	 28.87	115241
ISOLATES-550	SRR11404587_1_kneaddata_paired.out	 47.83	54446
ISOLATES-550	SRR11404588_1_kneaddata_paired.out	 19.46	79403
ISOLATES-550	SRR11404589_1_kneaddata_paired.out	 39.10	48790
ISOLATES-550	SRR11404590_1_kneaddata_paired.out	 32.47	137846
ISOLATES-550	SRR11404591_1_kneaddata_paired.out	 11.76	31602
ISOLATES-550	SRR11404592_1_kneaddata_paired.out	 17.07	38584
ISOLATES-550	SRR11404593_1_kneaddata_paired.out	 18.61	82304
ISOLATES-550	SRR11404594_1_kneaddata_paired.out	 39.55	485031
ISOLATES-550	SRR11404595_1_kneaddata_paired.out	 33.14	1011604
ISOLATES-550	SRR11404596_1_kneaddata_paired.out	 38.09	1659911
ISOLATES-550	SRR11404597_1_kneaddata_paired.out	 36.55	647975
ISOLATES-550	SRR11404598_1_kneaddata_paired.out	 31.93	684585
ISOLATES-550	SRR11404599_1_kneaddata_paired.out	 26.25	30913
ISOLATES-550	SRR11404600_1_kneaddata_paired.out	 31.27	41921
ISOLATES-550	SRR11404601_1_kneaddata_paired.out	 18.89	174437
ISOLATES-550	SRR11404602_1_kneaddata_paired.out	 27.65	124127
ISOLATES-550	SRR11404603_1_kneaddata_paired.out	 33.39	78791
ISOLATES-550	SRR11404604_1_kneaddata_paired.out	 95.96	30234
ISOLATES-550	SRR11404605_1_kneaddata_paired.out	 18.20	22674
ISOLATES-550	SRR11404606_1_kneaddata_paired.out	 98.67	29985
ISOLATES-550	SRR11404607_1_kneaddata_paired.out	 13.85	43734
ISOLATES-550	SRR11404608_1_kneaddata_paired.out	 28.34	40122
ISOLATES-550	SRR11404609_1_kneaddata_paired.out	 15.27	27959
ISOLATES-550	SRR11404610_1_kneaddata_paired.out	 12.42	30727
ISOLATES-550	SRR11404611_1_kneaddata_paired.out	 17.38	45054
ISOLATES-550	SRR11404612_1_kneaddata_paired.out	 30.48	68944
ISOLATES-550	SRR11404613_1_kneaddata_paired.out	 29.49	63529
ISOLATES-550	SRR11404614_1_kneaddata_paired.out	 24.90	60459
ISOLATES-550	SRR11404615_1_kneaddata_paired.out	 16.28	70456
ISOLATES-550	SRR11404616_1_kneaddata_paired.out	 26.99	88948
ISOLATES-550	SRR11404617_1_kneaddata_paired.out	 72.07	26243
ISOLATES-550	SRR11404618_1_kneaddata_paired.out	 35.82	158364
