Database	Sample	Frac_unclassified	Count_unclassified
HUMAN-4594	ERR3357594_1_kneaddata_paired.out	 71.97	3067354
HUMAN-4594	ERR3598095_1_kneaddata_paired.out	 64.33	26062
HUMAN-4594	ERR3598109_1_kneaddata_paired.out	 65.58	223676
HUMAN-4594	ERR3610233_1_kneaddata_paired.out	 65.91	206431
HUMAN-4594	ERR3610249_1_kneaddata_paired.out	 65.58	223672
HUMAN-4594	ERR580904_kneaddata.out	 80.45	13605029
HUMAN-4594	ERR580906_kneaddata.out	 80.25	14829883
HUMAN-4594	ERR580907_kneaddata.out	 75.14	17313118
HUMAN-4594	ERR675521_1_kneaddata_paired.out	 63.52	50837
HUMAN-4594	ERR675538_1_kneaddata_paired.out	 73.98	7547915
HUMAN-4594	ERR675566_1_kneaddata_paired.out	 71.25	78397
HUMAN-4594	ERR675588_1_kneaddata_paired.out	 74.54	4010338
HUMAN-4594	ERR675592_1_kneaddata_paired.out	 72.10	86539
HUMAN-4594	ERR675595_1_kneaddata_paired.out	 71.73	17136615
HUMAN-4594	ERR675596_1_kneaddata_paired.out	 72.52	13844698
HUMAN-4594	ERR675597_1_kneaddata_paired.out	 71.76	7423859
HUMAN-4594	ERR675598_1_kneaddata_paired.out	 63.66	9816036
HUMAN-4594	ERR675602_1_kneaddata_paired.out	 71.28	85534
HUMAN-4594	ERR675607_1_kneaddata_paired.out	 69.42	6261149
HUMAN-4594	ERR675621_1_kneaddata_paired.out	 61.37	2798468
HUMAN-4594	ERR675665_1_kneaddata_paired.out	 58.41	52578
HUMAN-4594	ERR675686_1_kneaddata_paired.out	 63.86	1960589
HUMAN-4594	ERR982799_1_kneaddata_paired.out	 47.49	7698663
HUMAN-4594	ERR982808_1_kneaddata_paired.out	 54.76	7038915
HUMAN-4594	ERR982811_1_kneaddata_paired.out	 56.32	10827744
HUMAN-4594	ERR982824_1_kneaddata_paired.out	 57.70	9954462
HUMAN-4594	ERR982828_1_kneaddata_paired.out	 50.68	12538114
HUMAN-4594	ERR982830_1_kneaddata_paired.out	 56.65	8971959
HUMAN-4594	ERR982836_1_kneaddata_paired.out	 61.75	11071904
HUMAN-4594	ERR982837_1_kneaddata_paired.out	 37.16	6904651
HUMAN-4594	ERR982840_1_kneaddata_paired.out	 63.76	12557070
HUMAN-4594	ERR982843_1_kneaddata_paired.out	 66.06	12131502
HUMAN-4594	ERR982848_1_kneaddata_paired.out	 57.64	8179909
HUMAN-4594	mgm4537490.3_kneaddata.out	 76.05	4849482
HUMAN-4594	mgm4538631.3_kneaddata.out	 75.66	3858693
HUMAN-4594	mgm4538804.3_kneaddata.out	 76.61	6104997
HUMAN-4594	mgm4538858.3_kneaddata.out	 80.28	3091500
HUMAN-4594	mgm4538914.3_kneaddata.out	 76.87	3186152
HUMAN-4594	mgm4538917.3_kneaddata.out	 74.86	1627015
HUMAN-4594	mgm4539155.3_kneaddata.out	 80.39	2008701
HUMAN-4594	mgm4539386.3_kneaddata.out	 77.60	1245474
HUMAN-4594	mgm4539686.3_kneaddata.out	 74.30	8395789
HUMAN-4594	mgm4539799.3_kneaddata.out	 78.33	2917465
HUMAN-4594	mgm4539801.3_kneaddata.out	 77.60	5293354
HUMAN-4594	mgm4539802.3_kneaddata.out	 76.82	2390331
HUMAN-4594	mgm4539917.3_kneaddata.out	 79.21	3340800
HUMAN-4594	mgm4539918.3_kneaddata.out	 75.38	6087599
HUMAN-4594	mgm4539994.3_kneaddata.out	 72.88	4868204
HUMAN-4594	mgm4539995.3_kneaddata.out	 56.82	2903655
HUMAN-4594	mgm4539996.3_kneaddata.out	 63.90	3768160
HUMAN-4594	mgm4539997.3_kneaddata.out	 71.06	4015248
HUMAN-4594	mgm4539998.3_kneaddata.out	 67.01	3216191
HUMAN-4594	mgm4540044.3_kneaddata.out	 65.22	886811
HUMAN-4594	mgm4540045.3_kneaddata.out	 64.52	2887870
HUMAN-4594	mgm4540046.3_kneaddata.out	 60.65	2815660
HUMAN-4594	mgm4540052.3_kneaddata.out	 58.83	4035339
HUMAN-4594	mgm4540053.3_kneaddata.out	 70.06	3316941
HUMAN-4594	mgm4725857_kneaddata.out	 81.43	15441281
HUMAN-4594	mgm4725858_kneaddata.out	 76.31	18570031
HUMAN-4594	mgm4725859_kneaddata.out	 77.37	11838348
HUMAN-4594	mgm4725862_kneaddata.out	 80.74	6493829
HUMAN-4594	mgm4725863_kneaddata.out	 78.58	9354594
HUMAN-4594	mgm4725866_kneaddata.out	 83.61	9480847
HUMAN-4594	mgm4725867_kneaddata.out	 79.46	19745210
HUMAN-4594	mgm4725875_kneaddata.out	 76.88	16985482
HUMAN-4594	mgm4725876_kneaddata.out	 75.62	9545983
HUMAN-4594	SRR10127614_1_kneaddata_paired.out	 66.87	20564
HUMAN-4594	SRR10127623_1_kneaddata_paired.out	 76.33	107150
HUMAN-4594	SRR10127624_1_kneaddata_paired.out	 76.54	596694
HUMAN-4594	SRR10127626_1_kneaddata_paired.out	 73.05	575918
HUMAN-4594	SRR10127627_1_kneaddata_paired.out	 78.70	685399
HUMAN-4594	SRR10127633_1_kneaddata_paired.out	 71.96	771681
HUMAN-4594	SRR10127634_1_kneaddata_paired.out	 72.79	712422
HUMAN-4594	SRR10127635_1_kneaddata_paired.out	 77.70	542764
HUMAN-4594	SRR10127636_1_kneaddata_paired.out	 85.98	554471
HUMAN-4594	SRR10127638_1_kneaddata_paired.out	 82.32	397024
HUMAN-4594	SRR10127639_1_kneaddata_paired.out	 62.46	746171
HUMAN-4594	SRR10127640_1_kneaddata_paired.out	 77.92	664834
HUMAN-4594	SRR10594855_1_kneaddata_paired.out	 47.76	462285
HUMAN-4594	SRR10728393_1_kneaddata_paired.out	 63.14	2396229
HUMAN-4594	SRR10728394_1_kneaddata_paired.out	 61.20	1451229
HUMAN-4594	SRR10728395_1_kneaddata_paired.out	 62.76	1000378
HUMAN-4594	SRR10728400_1_kneaddata_paired.out	 66.46	3298109
HUMAN-4594	SRR10728403_1_kneaddata_paired.out	 65.27	2653988
HUMAN-4594	SRR10728404_1_kneaddata_paired.out	 65.66	2485427
HUMAN-4594	SRR10728405_1_kneaddata_paired.out	 63.82	1942681
HUMAN-4594	SRR10728406_1_kneaddata_paired.out	 64.91	1930474
HUMAN-4594	SRR10728407_1_kneaddata_paired.out	 63.44	1845320
HUMAN-4594	SRR10728408_1_kneaddata_paired.out	 60.42	1140565
HUMAN-4594	SRR10728411_1_kneaddata_paired.out	 66.12	2925712
HUMAN-4594	SRR10728416_1_kneaddata_paired.out	 67.13	2229612
HUMAN-4594	SRR10728418_1_kneaddata_paired.out	 66.67	1678891
HUMAN-4594	SRR10728419_1_kneaddata_paired.out	 65.44	2205134
HUMAN-4594	SRR10728420_1_kneaddata_paired.out	 64.78	1711491
HUMAN-4594	SRR10728421_1_kneaddata_paired.out	 63.67	1086511
HUMAN-4594	SRR10728422_1_kneaddata_paired.out	 64.97	2373996
HUMAN-4594	SRR11404527_1_kneaddata_paired.out	 68.72	1274
