31664_4#112	s__Bacillus licheniformis	species__Bacillus licheniformis	species	Bacillus licheniformis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis
ERR1212027	s__Bacillus_A cereus	species__Bacillus_A cereus	species	Bacillus_A cereus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A cereus
GCA_003612265	s__Bacillus_A thuringiensis	species__Bacillus_A thuringiensis	species	Bacillus_A thuringiensis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A thuringiensis
GCA_003611805	s__UBA3282 sp003611805	species__UBA3282 sp003611805	species	UBA3282 sp003611805	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__UBA3282 sp003611805
24141_1#44	s__UBA3282 sp003611805	species__UBA3282 sp003611805	species	UBA3282 sp003611805	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__UBA3282 sp003611805
GCA_003612405	s__UBA3282 sp003612405	species__UBA3282 sp003612405	species	UBA3282 sp003612405	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__UBA3282 sp003612405
GCA_000403275	s__Kineothrix sp000403275	species__Kineothrix sp000403275	species	Kineothrix sp000403275	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix sp000403275
24141_1#40	s__Kineothrix sp000403275	species__Kineothrix sp000403275	species	Kineothrix sp000403275	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix sp000403275
GCA_002358575	s__COE1 sp002358575	species__COE1 sp002358575	species	COE1 sp002358575	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp002358575
GCA_002358535	s__COE1 sp002358575	species__COE1 sp002358575	species	COE1 sp002358575	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp002358575
GCA_000403335	s__COE1 sp000403335	species__COE1 sp000403335	species	COE1 sp000403335	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403335
24141_1#58	s__COE1 sp000403335	species__COE1 sp000403335	species	COE1 sp000403335	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403335
GCA_003611955	s__1XD8-76 sp003611955	species__1XD8-76 sp003611955	species	1XD8-76 sp003611955	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD8-76;s__1XD8-76 sp003611955
GCA_000403495	s__CAG-95 sp000403495	species__CAG-95 sp000403495	species	CAG-95 sp000403495	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp000403495
GCA_003612395	s__CAG-95 sp003612395	species__CAG-95 sp003612395	species	CAG-95 sp003612395	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp003612395
ERR1212025	s__Acetatifactor muris	species__Acetatifactor muris	species	Acetatifactor muris	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor muris
GCA_003612525	s__C-53 sp003612525	species__C-53 sp003612525	species	C-53 sp003612525	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__C-53;s__C-53 sp003612525
ERR1212003	s__Paraclostridium bifermentans	species__Paraclostridium bifermentans	species	Paraclostridium bifermentans	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium bifermentans
ERR1212026	s__Paeniclostridium sordellii	species__Paeniclostridium sordellii	species	Paeniclostridium sordellii	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paeniclostridium;s__Paeniclostridium sordellii
GCA_009917325	s__Clostridioides difficile	species__Clostridioides difficile	species	Clostridioides difficile	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile
ERR1212014	s__Clostridium_F tepidum	species__Clostridium_F tepidum	species	Clostridium_F tepidum	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_F;s__Clostridium_F tepidum
ERR1212029	s__Clostridium_G cochlearium	species__Clostridium_G cochlearium	species	Clostridium_G cochlearium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_G;s__Clostridium_G cochlearium
GCA_003611795	s__Clostridium paraputrificum	species__Clostridium paraputrificum	species	Clostridium paraputrificum	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium paraputrificum
