GUT_GENOME000002	GUT_GENOME001689
GUT_GENOME000003	GUT_GENOME096067
GUT_GENOME000005	GUT_GENOME001575
GUT_GENOME000006	GUT_GENOME257982
GUT_GENOME000007	GUT_GENOME261564
GUT_GENOME000008	GUT_GENOME195692
GUT_GENOME000009	GUT_GENOME073771
GUT_GENOME000010	GUT_GENOME000010
GUT_GENOME000011	GUT_GENOME000711
GUT_GENOME000012	GUT_GENOME147854
GUT_GENOME000013	GUT_GENOME143232
GUT_GENOME000015	GUT_GENOME257982
GUT_GENOME000018	GUT_GENOME145982
GUT_GENOME000032	GUT_GENOME140240
GUT_GENOME000033	GUT_GENOME147632
GUT_GENOME000034	GUT_GENOME001745
GUT_GENOME000035	GUT_GENOME000035
GUT_GENOME000038	GUT_GENOME001734
GUT_GENOME000039	GUT_GENOME239724
GUT_GENOME000040	GUT_GENOME000838
GUT_GENOME000041	GUT_GENOME095938
GUT_GENOME000042	GUT_GENOME239670
GUT_GENOME000044	GUT_GENOME001189
GUT_GENOME000045	GUT_GENOME000980
GUT_GENOME000046	GUT_GENOME208064
GUT_GENOME000049	GUT_GENOME000049
GUT_GENOME000050	GUT_GENOME096571
GUT_GENOME000051	GUT_GENOME095972
GUT_GENOME000052	GUT_GENOME143134
GUT_GENOME000053	GUT_GENOME096036
GUT_GENOME000054	GUT_GENOME089036
GUT_GENOME000057	GUT_GENOME000057
GUT_GENOME000058	GUT_GENOME143752
GUT_GENOME000059	GUT_GENOME000962
GUT_GENOME000060	GUT_GENOME096179
GUT_GENOME000061	GUT_GENOME143712
GUT_GENOME000064	GUT_GENOME000064
GUT_GENOME000067	GUT_GENOME000067
GUT_GENOME000069	GUT_GENOME141098
GUT_GENOME000070	GUT_GENOME143131
GUT_GENOME000074	GUT_GENOME140786
GUT_GENOME000078	GUT_GENOME001523
GUT_GENOME000081	GUT_GENOME239673
GUT_GENOME000098	GUT_GENOME001734
GUT_GENOME000099	GUT_GENOME142522
GUT_GENOME000100	GUT_GENOME001636
GUT_GENOME000101	GUT_GENOME000659
GUT_GENOME000102	GUT_GENOME140106
GUT_GENOME000103	GUT_GENOME000131
GUT_GENOME000109	GUT_GENOME000109
GUT_GENOME000110	GUT_GENOME000724
GUT_GENOME000111	GUT_GENOME127003
GUT_GENOME000112	GUT_GENOME000977
GUT_GENOME000113	GUT_GENOME254556
GUT_GENOME000114	GUT_GENOME140065
GUT_GENOME000116	GUT_GENOME001575
GUT_GENOME000117	GUT_GENOME098563
GUT_GENOME000118	GUT_GENOME001213
GUT_GENOME000119	GUT_GENOME001159
GUT_GENOME000120	GUT_GENOME001261
GUT_GENOME000121	GUT_GENOME096067
GUT_GENOME000122	GUT_GENOME000122
